company_id,year,pattern
RELIANCE,2006.0,Growth
RELIANCE,2007.0,Dividend Payer
RELIANCE,2008.0,Growth
RELIANCE,2009.0,Deleveraging
RELIANCE,2016.0,Dividend Payer
RELIANCE,2022.0,Capital Returner
TCS,2007.0,Value
TCS,2008.0,Reinvestor
TCS,2014.0,Reinvestor
TCS,2015.0,Reinvestor
TCS,2018.0,Dividend Payer
TCS,2024.0,Value
HDFCBANK,2006.0,Capital Returner
HDFCBANK,2008.0,Distress Signal
HDFCBANK,2010.0,Dividend Payer
HDFCBANK,2011.0,Capital Returner
HDFCBANK,2014.0,Growth
HDFCBANK,2017.0,Dividend Payer
HDFCBANK,2018.0,Cash Cow
HDFCBANK,2020.0,Value
HDFCBANK,2022.0,Distress Signal
INFY,2005.0,Value
INFY,2018.0,Distress Signal
INFY,2023.0,Deleveraging
ICICIBANK,2005.0,Growth
ICICIBANK,2009.0,Value
ICICIBANK,2013.0,Growth
ICICIBANK,2014.0,Capital Returner
ICICIBANK,2016.0,Capital Returner
ICICIBANK,2018.0,Dividend Payer
ICICIBANK,2019.0,Value
ICICIBANK,2021.0,Reinvestor
ICICIBANK,2023.0,Capital Returner
HINDUNILVR,2009.0,Growth
HINDUNILVR,2011.0,Capital Returner
HINDUNILVR,2014.0,Capital Returner
HINDUNILVR,2019.0,Value
HINDUNILVR,2021.0,Reinvestor
SBIN,2008.0,Dividend Payer
SBIN,2012.0,Capital Returner
SBIN,2014.0,Capital Returner
SBIN,2018.0,Value
SBIN,2021.0,Capital Returner
BHARTIARTL,2007.0,Cash Cow
BHARTIARTL,2010.0,Value
BHARTIARTL,2012.0,Dividend Payer
BHARTIARTL,2013.0,Deleveraging
BHARTIARTL,2016.0,Growth
BHARTIARTL,2017.0,Distress Signal
BHARTIARTL,2020.0,Value
BHARTIARTL,2023.0,Distress Signal
ITC,2005.0,Growth
ITC,2006.0,Reinvestor
ITC,2007.0,Distress Signal
ITC,2014.0,Dividend Payer
ITC,2015.0,Distress Signal
ITC,2016.0,Capital Returner
ITC,2017.0,Capital Returner
ITC,2018.0,Cash Cow
ITC,2021.0,Reinvestor
KOTAKBANK,2009.0,Dividend Payer
KOTAKBANK,2018.0,Capital Returner
KOTAKBANK,2024.0,Capital Returner
LT,2005.0,Capital Returner
LT,2010.0,Deleveraging
LT,2018.0,Cash Cow
LT,2024.0,Capital Returner
AXISBANK,2006.0,Cash Cow
