company_id,year,pattern
RELIANCE,2006.0,Value
RELIANCE,2007.0,Capital Returner
RELIANCE,2008.0,Cash Cow
RELIANCE,2009.0,Deleveraging
RELIANCE,2016.0,Growth
RELIANCE,2022.0,Growth
TCS,2007.0,Capital Returner
TCS,2008.0,Value
TCS,2014.0,Growth
TCS,2015.0,Capital Returner
TCS,2018.0,Dividend Payer
TCS,2024.0,Capital Returner
HDFCBANK,2006.0,Dividend Payer
HDFCBANK,2008.0,Capital Returner
HDFCBANK,2010.0,Capital Returner
HDFCBANK,2011.0,Capital Returner
HDFCBANK,2014.0,Growth
HDFCBANK,2017.0,Cash Cow
HDFCBANK,2018.0,Value
HDFCBANK,2020.0,Deleveraging
HDFCBANK,2022.0,Cash Cow
INFY,2005.0,Distress Signal
INFY,2018.0,Growth
INFY,2023.0,Dividend Payer
ICICIBANK,2005.0,Cash Cow
ICICIBANK,2009.0,Cash Cow
ICICIBANK,2013.0,Dividend Payer
ICICIBANK,2014.0,Reinvestor
ICICIBANK,2016.0,Distress Signal
ICICIBANK,2018.0,Reinvestor
ICICIBANK,2019.0,Deleveraging
ICICIBANK,2021.0,Dividend Payer
ICICIBANK,2023.0,Growth
HINDUNILVR,2009.0,Cash Cow
HINDUNILVR,2011.0,Cash Cow
HINDUNILVR,2014.0,Capital Returner
HINDUNILVR,2019.0,Distress Signal
HINDUNILVR,2021.0,Reinvestor
SBIN,2008.0,Deleveraging
SBIN,2012.0,Cash Cow
SBIN,2014.0,Deleveraging
SBIN,2018.0,Deleveraging
SBIN,2021.0,Deleveraging
BHARTIARTL,2007.0,Reinvestor
BHARTIARTL,2010.0,Cash Cow
BHARTIARTL,2012.0,Growth
BHARTIARTL,2013.0,Deleveraging
BHARTIARTL,2016.0,Capital Returner
BHARTIARTL,2017.0,Dividend Payer
BHARTIARTL,2020.0,Capital Returner
BHARTIARTL,2023.0,Dividend Payer
ITC,2005.0,Value
ITC,2006.0,Growth
ITC,2007.0,Cash Cow
ITC,2014.0,Capital Returner
ITC,2015.0,Distress Signal
ITC,2016.0,Reinvestor
ITC,2017.0,Capital Returner
ITC,2018.0,Dividend Payer
ITC,2021.0,Value
KOTAKBANK,2009.0,Value
KOTAKBANK,2018.0,Growth
KOTAKBANK,2024.0,Deleveraging
LT,2005.0,Capital Returner
LT,2010.0,Growth
LT,2018.0,Distress Signal
LT,2024.0,Distress Signal
AXISBANK,2006.0,Cash Cow
AXISBANK,2007.0,Cash Cow
AXISBANK,2018.0,Cash Cow
AXISBANK,2023.0,Reinvestor
BAJFINANCE,2009.0,Growth
BAJFINANCE,2011.0,Reinvestor
BAJFINANCE,2013.0,Capital Returner
BAJFINANCE,2017.0,Cash Cow
BAJFINANCE,2022.0,Dividend Payer
MARUTI,2005.0,Reinvestor
MARUTI,2009.0,Cash Cow
MARUTI,2013.0,Deleveraging
MARUTI,2020.0,Cash Cow
MARUTI,2022.0,Deleveraging
MARUTI,2024.0,Dividend Payer
ASIANPAINT,2007.0,Growth
ASIANPAINT,2010.0,Reinvestor
ASIANPAINT,2016.0,Capital Returner
ASIANPAINT,2020.0,Distress Signal
SUNPHARMA,2006.0,Reinvestor
