company_id,cluster_id,cluster_name,distance_from_centroid
RELIANCE,2,Distressed or Turnaround,1.2043984073429985
TCS,1,High-Quality Compounders,1.4612999025225109
HDFCBANK,1,High-Quality Compounders,1.5675607182963283
INFY,4,Defensive Dividend Payers,1.280348364110463
ICICIBANK,2,Distressed or Turnaround,1.423756609124466
HINDUNILVR,2,Distressed or Turnaround,0.8609437278792279
SBIN,1,High-Quality Compounders,1.691282207573018
BHARTIARTL,0,Emerging Growth,1.6510299304631932
ITC,1,High-Quality Compounders,2.72560258316148
KOTAKBANK,2,Distressed or Turnaround,2.216134258287586
LT,4,Defensive Dividend Payers,2.6883555252707287
AXISBANK,4,Defensive Dividend Payers,1.8430056785672793
BAJFINANCE,1,High-Quality Compounders,0.8683369750656275
MARUTI,3,Value Cyclicals,1.8044397319191325
ASIANPAINT,2,Distressed or Turnaround,1.8119891092800544
SUNPHARMA,3,Value Cyclicals,2.249604488879634
TATASTEEL,3,Value Cyclicals,0.7592651512782256
WIPRO,0,Emerging Growth,1.3599018946699606
HCLTECH,2,Distressed or Turnaround,1.0796193028868348
ONGC,1,High-Quality Compounders,2.3502089609707
NTPC,2,Distressed or Turnaround,2.4276051588235092
POWERGRID,3,Value Cyclicals,1.3217004523202684
COALINDIA,4,Defensive Dividend Payers,1.9308322686373034
HINDALCO,4,Defensive Dividend Payers,1.3278110360337259
TATAMOTORS,3,Value Cyclicals,1.9903629629277895
ADANIPORTS,4,Defensive Dividend Payers,1.0618694069669068
TECHM,4,Defensive Dividend Payers,0.7355691665835485
DRREDDY,3,Value Cyclicals,1.7456896576202063
CIPLA,4,Defensive Dividend Payers,1.2747153414749672
BPCL,3,Value Cyclicals,1.8342415822642697
ULTRACEMCO,4,Defensive Dividend Payers,1.0347075930761525
AMBUJACEM,4,Defensive Dividend Payers,1.5652606738774613
DABUR,4,Defensive Dividend Payers,0.9957072571851399
BRITANNIA,4,Defensive Dividend Payers,0.7418862040754328
HEROMOTOCO,4,Defensive Dividend Payers,1.013175150732085
EICHERMOT,0,Emerging Growth,1.5176079722493643
TITAN,3,Value Cyclicals,1.7284873820031155
MARICO,2,Distressed or Turnaround,1.6540000756626958
VEDL,3,Value Cyclicals,1.0987582444823543
JSPL,4,Defensive Dividend Payers,1.3309342945874039
GRASIM,0,Emerging Growth,2.101335385242627
SHREECEM,4,Defensive Dividend Payers,1.293960524614389
BAJAJAUTO,3,Value Cyclicals,2.0392446274671343
M&M,3,Value Cyclicals,2.359410797055868
ADANIENT,3,Value Cyclicals,1.5312319138482011
DIVISLAB,1,High-Quality Compounders,1.1441443965923446
INDUSINDBK,4,Defensive Dividend Payers,2.5394059539679894
TATAPOWER,4,Defensive Dividend Payers,1.300691965472667
TATAELXSI,3,Value Cyclicals,1.6698041510919053
PIDILITIND,3,Value Cyclicals,1.313628193949501
GODREJCP,2,Distressed or Turnaround,1.520355184487614
HAVELLS,1,High-Quality Compounders,1.4094640539914998
BAJAJFINSV,2,Distressed or Turnaround,1.1670523559184347
LUPIN,2,Distressed or Turnaround,1.244272505072285
BAJAJHLDNG,3,Value Cyclicals,0.5515712012214795
CANBK,0,Emerging Growth,2.8496348752989618
BANKBARODA,1,High-Quality Compounders,1.377522509405375
UNIONBANK,2,Distressed or Turnaround,0.6273585415490227
PNB,4,Defensive Dividend Payers,1.7961811688893001
FEDERALBNK,4,Defensive Dividend Payers,1.4664956980441468
IDFCFIRSTB,1,High-Quality Compounders,1.4553311396585016
HDFCLIFE,0,Emerging Growth,1.5387035310692951
SBILIFE,4,Defensive Dividend Payers,1.5142824983214975
ICICIPRULI,3,Value Cyclicals,1.4269196079078095
SAIL,1,High-Quality Compounders,1.5894470792650992
NMDC,2,Distressed or Turnaround,1.1687492839973113
NALCO,1,High-Quality Compounders,1.2218994519548443
NHPC,1,High-Quality Compounders,1.5865936098045983
POWERINDIA,3,Value Cyclicals,1.4508387429258642
IOCL,1,High-Quality Compounders,1.3908455745040498
HPCL,2,Distressed or Turnaround,1.133227921081068
MUTHOOTFIN,3,Value Cyclicals,2.533582615521683
BANDHANBNK,4,Defensive Dividend Payers,1.335026259535059
TORNTPHARM,4,Defensive Dividend Payers,1.187575893565355
ALKEM,4,Defensive Dividend Payers,0.5828967645974963
LALPATHLAB,4,Defensive Dividend Payers,0.8429728926015044
BIOCON,0,Emerging Growth,2.156456236457764
ZYDUSLIFE,2,Distressed or Turnaround,1.6258361516768225
ABBOTINDIA,1,High-Quality Compounders,1.116511296010136
APOLLOHOSP,2,Distressed or Turnaround,1.7549050581876153
MAXHEALTH,4,Defensive Dividend Payers,0.6262538079350262
FORTIS,4,Defensive Dividend Payers,1.670547035172458
DEVYANI,1,High-Quality Compounders,2.141679970484924
OBEROIRLTY,2,Distressed or Turnaround,1.6613808579098657
INDIANHOTL,1,High-Quality Compounders,1.2504173124849547
TVSMOTOR,1,High-Quality Compounders,1.6780155065302569
VOLTAS,1,High-Quality Compounders,1.7760331497748412
ASTRAL,3,Value Cyclicals,1.4351022917533378
AARTIIND,1,High-Quality Compounders,2.3325516615122743
TORNTPOWER,3,Value Cyclicals,3.1142406639826756
M&MFIN,4,Defensive Dividend Payers,1.763067167378182
CHOLAFIN,4,Defensive Dividend Payers,1.6613901514770002
