company_id,previous_pattern,latest_pattern
RELIANCE,Dividend Payer,Capital Returner
TCS,Dividend Payer,Value
HDFCBANK,Value,Distress Signal
INFY,Distress Signal,Deleveraging
ICICIBANK,Reinvestor,Capital Returner
HINDUNILVR,Value,Reinvestor
SBIN,Value,Capital Returner
BHARTIARTL,Value,Distress Signal
ITC,Cash Cow,Reinvestor
LT,Cash Cow,Capital Returner
AXISBANK,Cash Cow,Reinvestor
BAJFINANCE,Distress Signal,Cash Cow
MARUTI,Cash Cow,Value
ASIANPAINT,Capital Returner,Reinvestor
TATASTEEL,Reinvestor,Capital Returner
WIPRO,Reinvestor,Distress Signal
HCLTECH,Distress Signal,Growth
NTPC,Distress Signal,Reinvestor
POWERGRID,Capital Returner,Reinvestor
COALINDIA,Reinvestor,Value
HINDALCO,Deleveraging,Distress Signal
TATAMOTORS,Reinvestor,Dividend Payer
ADANIPORTS,Growth,Reinvestor
TECHM,Cash Cow,Deleveraging
DRREDDY,Cash Cow,Dividend Payer
CIPLA,Value,Capital Returner
ULTRACEMCO,Deleveraging,Dividend Payer
AMBUJACEM,Growth,Capital Returner
DABUR,Cash Cow,Dividend Payer
BRITANNIA,Distress Signal,Cash Cow
HEROMOTOCO,Capital Returner,Reinvestor
EICHERMOT,Value,Distress Signal
TITAN,Capital Returner,Deleveraging
MARICO,Growth,Cash Cow
VEDL,Value,Distress Signal
JSPL,Value,Distress Signal
GRASIM,Distress Signal,Cash Cow
M&M,Cash Cow,Deleveraging
ADANIENT,Capital Returner,Cash Cow
DIVISLAB,Dividend Payer,Growth
INDUSINDBK,Value,Reinvestor
TATAELXSI,Growth,Value
PIDILITIND,Deleveraging,Reinvestor
GODREJCP,Value,Reinvestor
BAJAJFINSV,Growth,Value
LUPIN,Distress Signal,Growth
BAJAJHLDNG,Distress Signal,Reinvestor
CANBK,Dividend Payer,Deleveraging
BANKBARODA,Cash Cow,Reinvestor
UNIONBANK,Distress Signal,Capital Returner
FEDERALBNK,Dividend Payer,Distress Signal
HDFCLIFE,Dividend Payer,Distress Signal
SBILIFE,Growth,Cash Cow
ICICIPRULI,Dividend Payer,Value
SAIL,Reinvestor,Growth
NMDC,Value,Deleveraging
NALCO,Deleveraging,Capital Returner
POWERINDIA,Capital Returner,Distress Signal
IOCL,Deleveraging,Distress Signal
HPCL,Deleveraging,Dividend Payer
MUTHOOTFIN,Reinvestor,Cash Cow
BANDHANBNK,Dividend Payer,Capital Returner
TORNTPHARM,Distress Signal,Growth
ALKEM,Growth,Value
LALPATHLAB,Value,Deleveraging
BIOCON,Deleveraging,Growth
ZYDUSLIFE,Growth,Reinvestor
ABBOTINDIA,Growth,Distress Signal
APOLLOHOSP,Distress Signal,Growth
MAXHEALTH,Dividend Payer,Deleveraging
FORTIS,Reinvestor,Value
DEVYANI,Dividend Payer,Distress Signal
OBEROIRLTY,Distress Signal,Reinvestor
INDIANHOTL,Capital Returner,Value
TVSMOTOR,Value,Capital Returner
VOLTAS,Value,Dividend Payer
AARTIIND,Deleveraging,Reinvestor
TORNTPOWER,Distress Signal,Growth
CHOLAFIN,Distress Signal,Value
