KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,5.303,8.325,15.05,23.3675,27.217000000000002,15.472608695652177,8.138879269118458
debt_to_equity,0.443,0.89,1.3599999999999999,2.135,2.704,1.481521739130435,0.8079045406327187
revenue_cagr_5yr,1.7051078256304453,3.4504325671965876,6.113230596166885,8.086692972057769,9.999122263973911,5.822334969430432,3.1320639583466066
fcf_cagr_5yr,-21.81500443089451,-12.41290126743408,-3.052599475077134,16.308201867210474,34.18030144549233,2.2229790723808125,26.96411985825648
operating_profit_margin_pct,13.913,18.185,26.625,32.885,37.267,26.07195652173913,8.545023902400413
pe_ratio,9.019,21.8725,43.405,58.265,69.001,41.38521739130435,21.587355450282395
pb_ratio,2.7470000000000003,4.5275,7.505,10.885,12.943000000000001,7.674565217391305,3.8353799511034534
ev_ebitda,7.297,12.122499999999999,20.884999999999998,29.965,37.918,21.653913043478262,10.750391452777887
div_yield,0.777,1.29,2.43,3.69,4.248,2.504021739130435,1.3496096788466296
current_ratio,0.77,0.9875,1.6949999999999998,2.4675000000000002,2.8660000000000005,1.7394565217391302,0.7666960142772674
